created at,id,favorite count,retweet count,is retweet,source,in reply to user_id,text
Tue Mar 07 14:14:03 +0000 2017,839116941956640768,121937,25982,False,Twitter for Android,,"Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!"
Tue Mar 07 13:46:28 +0000 2017,839110000870109184,124413,23777,False,Twitter for Android,,I am working on a new system where there will be competition in the Drug Industry. Pricing for the American people will come way down!
Tue Mar 07 13:41:58 +0000 2017,839108868584124417,82197,16405,False,Twitter for Android,,"Don't worry, getting rid of state lines, which will promote competition, will be in phase 2 &amp; 3 of healthcare rollout. @foxandfriends"
Tue Mar 07 13:13:20 +0000 2017,839101660886614016,78880,17573,False,Twitter for Android,,"For eight years Russia ""ran over"" President Obama, got stronger and stronger, picked-off Crimea and added missiles. Weak! @foxandfriends"
Tue Mar 07 12:13:59 +0000 2017,839086723552411648,81473,15068,False,Twitter for Android,,Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is imploding fast!
Tue Mar 07 12:04:13 +0000 2017,839084268991229952,92823,22911,False,Twitter for Android,,"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!"
Tue Mar 07 03:50:49 +0000 2017,838960097674002432,99441,19379,False,Twitter for iPhone,,"Thank you to @exxonmobil for your $20 billion investment that is creating more than 45,000 manufacturing &amp; construction jobs in the USA!"
Tue Mar 07 03:49:54 +0000 2017,838959869772328960,87209,16192,False,Twitter for iPhone,,"Buy American &amp; hire American are the principles at the core of my agenda, which is: JOBS, JOBS, JOBS! Thank you @exxonmobil."
Mon Mar 06 23:49:53 +0000 2017,838899465390018560,108591,25176,False,Twitter for iPhone,,There is an incredible spirit of optimism sweeping the country right now—we're bringing back the JOBS! https://t.co/BNSLvKiEVj
Mon Mar 06 21:22:15 +0000 2017,838862312685637640,116785,24663,False,Twitter for iPhone,,"45,000 construction &amp; manufacturing jobs in the U.S. Gulf Coast region. $20 billion investment. We are already winning again, America!"
Mon Mar 06 21:21:32 +0000 2017,838862131852369922,65634,13723,False,Twitter for iPhone,,"Buy American &amp; hire American are the principals at the core of my agenda, which is: JOBS, JOBS, JOBS! Thank you @exxonmobil."
Mon Mar 06 21:19:04 +0000 2017,838861512999649286,70675,12846,False,Twitter for iPhone,,"'President Trump Congratulates Exxon Mobil for Job-Creating Investment Program'
https://t.co/adBzWhtq8S"
Sun Mar 05 17:30:11 +0000 2017,838441522546769923,172217,30764,False,Twitter for iPhone,,Thank you for the great rallies all across the country. Tremendous support. Make America Great Again!
Sun Mar 05 11:40:20 +0000 2017,838353481526312961,126453,37134,False,Twitter for Android,,"Who was it that secretly said to Russian President, ""Tell Vladimir that after the election I'll have more flexibility?"" @foxandfriends"
Sun Mar 05 11:32:22 +0000 2017,838351476401520640,96318,24515,False,Twitter for Android,,Is it true the DNC would not allow the FBI access to check server or other equipment after learning it was hacked? Can that be possible?
Sat Mar 04 13:19:29 +0000 2017,838016045222854656,106606,23117,False,Twitter for Android,,"Arnold Schwarzenegger isn't voluntarily leaving the Apprentice, he was fired by his bad (pathetic) ratings, not by me. Sad end to great show"
